"Variable","Mean (In Sample)","SE (In Sample)","Median (In Sample)","IQR (In Sample)","Mean (Not In Sample)","SE (Not In Sample)","Median (Not In Sample)","IQR (Not In Sample)","Difference in Means","P-value"
"dism1930",0.536942420261247,0.0128502490384507,0.561790138483047,0.179553091526031,0.525727079915149,0.0104780129688622,0.517717629671097,0.211562506854534,0.0112153403460979,0.768776598673633
"isol1930",0.16975319250265,0.0116252459477302,0.159119755029678,0.168904428370297,0.185431674854564,0.010679599862229,0.10534804686904,0.229356622323394,-0.0156784823519134,0.676153940958996
"dism1940w",0.569623354731536,0.0125822946049343,0.588721454143524,0.195138722658157,0.570075436362198,0.0107806829367651,0.599961638450623,0.255557060241699,-0.000452081630661905,0.990696678190892
"isol1940w",0.1982779078549,0.013114091139986,0.21239960193634,0.16430938988924,0.234309219156525,0.0114880262203881,0.168297946453094,0.309383153915405,-0.0360313113016248,0.381787609082586
"dism1940t",0.741617560386658,0.00825772769270879,0.759899079799652,0.141395211219788,0.735793622101054,0.00767187537933421,0.74661248922348,0.161602079868317,0.00582393828560324,0.868235734680861
"isol1940t",0.318399200134951,0.0185505145486636,0.322558790445328,0.311044447124004,0.355374617611661,0.0139532982665959,0.300435096025467,0.298991620540619,-0.0369754174767095,0.590391326113821
"dism1950",0.740384195859616,0.0099679439056974,0.758431226015091,0.114121332764626,0.717904632290204,0.00819188638996095,0.730752974748611,0.154168233275414,0.0224795635694112,0.482976413945872
"isol1950",0.366661029294706,0.0183404970085129,0.328339606523514,0.332531876862049,0.39291247750322,0.0144415042205502,0.435034394264221,0.386319234967232,-0.0262514482085139,0.648307934633897
"dism1960",0.75419921757745,0.00829124077099064,0.748773455619812,0.119448304176331,0.75637163552973,0.00636912207546109,0.748674869537354,0.122142672538757,-0.00217241795228051,0.915241031091207
"isol1960",0.35239977194149,0.0184450860995139,0.319492399692535,0.287703618407249,0.357662632544008,0.0153587353390675,0.358049914240837,0.386176247149706,-0.00526286060251768,0.912710750542913
"dism1970",0.739736411571503,0.00967739893114803,0.770217716693878,0.143582105636597,0.743589365599202,0.00683631949249322,0.757080554962158,0.143654048442841,-0.00385295402769947,0.842981025514663
"isol1970",0.365002108514309,0.018351974445193,0.366585910320282,0.28220708668232,0.342917085095656,0.0152760377127378,0.288514912128448,0.397212795913219,0.0220850234186533,0.590050872671309
"dism1980",0.624242522120476,0.0114387432536999,0.648977398872375,0.194145828485489,0.609228472691029,0.00891033932161047,0.621924102306366,0.237244322896004,0.0150140494294465,0.486863198302433
"isol1980",0.271024363497272,0.0184246977678136,0.24187870323658,0.348770780488849,0.269047754685744,0.0140833375538685,0.235017344355583,0.358260621316731,0.00197660881152845,0.954071451386725
"dism1990",0.568694344975732,0.0122936415665217,0.574487388134003,0.216270118951797,0.573726686009442,0.00901987812089327,0.562184035778046,0.210105821490288,-0.00503234103370997,0.799735092671656
"isol1990",0.214371946093834,0.0171191203172773,0.187668204307556,0.308691002428532,0.229277716186571,0.0125581454610437,0.179349392652512,0.311663603410125,-0.0149057700927367,0.589543709033441
"pctbk1890",0.0265655216736425,0.00232442174591067,0.0228620320558548,0.0249017458409071,0.0303143647816291,0.00221900108509586,0.0148954596370459,0.0231851963326335,-0.0037488431079866,0.546882616915485
"pctbk1900",0.0291753633727514,0.00351989558070297,0.0193001143634319,0.0150632169097662,0.0425130367293605,0.0025249572113389,0.0246431110426784,0.0414580991491675,-0.013337673356609,0.150031132242779
"pctbk1910",0.0284550303755247,0.00306907311848922,0.0204467689618468,0.0203820301685482,0.0346158738117083,0.00218064650260702,0.0198572520166636,0.0352231282740831,-0.00616084343618359,0.404342691574454
"pctbk1920",0.0339361280091994,0.0032501404952225,0.0260761519894004,0.0293169131036848,0.0521056938596303,0.00235875393365622,0.0418744441121817,0.0562418871559203,-0.0181695658504309,0.037473128957629
"pctbk1930",0.0404055984884811,0.0036340167184112,0.0297958729788661,0.0283679869025946,0.0647888138720935,0.00286624235407021,0.05060750618577,0.0634323749691248,-0.0243832153836124,0.0147154843627658
"pctbk1940",0.0406204398465671,0.00349760577334292,0.0296493303030729,0.0283087203279138,0.0583135305378745,0.00324313743850495,0.0394544303417206,0.0708542065694928,-0.0176930906913074,0.0455928563874077
"pctbk1950",0.0723112611494099,0.00444847558543591,0.0640602223575115,0.052171578630805,0.0989935419832667,0.00505399638226867,0.0770416501909494,0.0950118722394109,-0.0266822808338568,0.130824148170625
